path,description,colorSpace,component0,component1,component2,alpha,hex,extensions
color.palette.black,Primitive black,oklch,0,0,0,1,#000000,
color.palette.white,Primitive white,oklch,1,0,0,1,#FFFFFF,
color.palette.gray.20,Primitive gray shade 20,oklch,0.9791,0,0,1,#F8F8F8,
color.palette.gray.40,Primitive gray shade 40,oklch,0.9581,0,0,1,#F1F1F1,
color.palette.gray.100,Primitive gray shade 100,oklch,0.8975,0,0,1,#DDDDDD,
color.palette.gray.180,Primitive gray shade 180,oklch,0.8234,0,0,1,#C5C5C5,
color.palette.gray.280,Primitive gray shade 280,oklch,0.7348,0,0,1,#A9A9A9,
color.palette.gray.398,Primitive gray shade 398,oklch,0.6401,0,0,1,#8c8c8c,
color.palette.gray.520,Primitive gray shade 520,oklch,0.5486,0,0,1,#717171,
color.palette.gray.590,Primitive gray shade 590,oklch,0.4997,0,0,1,#636363,
color.palette.gray.700,Primitive gray shade 700,oklch,0.4202,0,0,1,#4D4D4D,
color.palette.gray.820,Primitive gray shade 820,oklch,0.3329,0,0,1,#363636,
color.palette.gray.930,Primitive gray shade 930,oklch,0.2308,0,0,1,#1D1D1D,
color.palette.gray.960,Primitive gray shade 960,oklch,0.1867,0,0,1,#131313,
color.palette.gray.990,Primitive gray shade 990,oklch,0.1221,0,0,1,#060606,
color.palette.orange.20,Primitive orange shade 20,oklch,0.9794,0.006,43.34,1,#FCF7F5,
color.palette.orange.40,Primitive orange shade 40,oklch,0.9577,0.0136,34.3,1,#FAEEEB,
color.palette.orange.100,Primitive orange shade 100,oklch,0.8979,0.0395,37.53,1,#F6D5CB,
color.palette.orange.180,Primitive orange shade 180,oklch,0.823,0.0829,38.38,1,#F5B39E,
color.palette.orange.280,Primitive orange shade 280,oklch,0.7364,0.1455,38.09,1,#F68663,
color.palette.orange.398,Primitive orange shade 398 (Ubuntu orange - primary brand color),oklch,0.6405,0.1941,37.76,1,#E95420,
color.palette.orange.520,Primitive orange shade 520,oklch,0.5494,0.1746,37.97,1,#C13F0B,
color.palette.orange.590,Primitive orange shade 590,oklch,0.4991,0.157,37.79,1,#A9370C,
color.palette.orange.700,Primitive orange shade 700,oklch,0.4218,0.1239,38.22,1,#832E10,
color.palette.orange.820,Primitive orange shade 820,oklch,0.332,0.0846,37.83,1,#592312,
