path,description,value,unit,extensions
dimension.100,Primitive dimension 100 (8px),0.5,rem,
dimension.150,Primitive dimension 150 (12px),0.75,rem,
dimension.175,Primitive dimension 175 (14px),0.875,rem,
dimension.200,Primitive dimension 200 (16px),1,rem,
dimension.225,Primitive dimension 225 (18px),1.125,rem,
dimension.250,Primitive dimension 250 (20px),1.25,rem,
dimension.300,Primitive dimension 300 (24px),1.5,rem,
dimension.400,Primitive dimension 400 (32px),2,rem,
dimension.500,Primitive dimension 500 (40px),2.5,rem,
dimension.600,Primitive dimension 600 (48px),3,rem,
dimension.700,Primitive dimension 700 (56px),3.5,rem,
dimension.800,Primitive dimension 800 (64px),4,rem,
dimension.900,Primitive dimension 900 (72px),4.5,rem,
dimension.1000,Primitive dimension 1000 (80px),5,rem,
dimension.1100,Primitive dimension 1100 (88px),5.5,rem,
dimension.025,Primitive dimension 025 (2px),0.125,rem,
dimension.050,Primitive dimension 050 (4px),0.25,rem,
dimension.size.fontSize.200,Primitive font size 200 (10px),0.625,rem,
dimension.size.fontSize.250,Primitive font size 250 (12px),0.75,rem,
dimension.size.fontSize.300,Primitive font size 300 (14px),0.875,rem,
dimension.size.fontSize.350,Primitive font size 350 (16px),1,rem,
dimension.size.fontSize.400,Primitive font size 400 (18px),1.125,rem,
dimension.size.fontSize.450,Primitive font size 450 (21px),1.3125,rem,
dimension.size.fontSize.500,Primitive font size 500 (24px),1.5,rem,
dimension.size.fontSize.550,Primitive font size 550 (28px),1.75,rem,
dimension.size.fontSize.600,Primitive font size 600 (32px),2,rem,
dimension.size.fontSize.650,Primitive font size 650 (36px),2.25,rem,
dimension.size.fontSize.700,Primitive font size 700 (42px),2.625,rem,
dimension.size.fontSize.750,Primitive font size 750 (48px),3,rem,
dimension.size.fontSize.800,Primitive font size 800 (55px),3.4375,rem,
dimension.size.fontSize.850,Primitive font size 850 (63px),3.9375,rem,
dimension.size.fontSize.900,Primitive font size 900 (73px),4.5625,rem,
dimension.size.fontSize.950,Primitive font size 950 (84px),5.25,rem,
dimension.size.fontSize.1000,Primitive font size 1000 (96px),6,rem,
dimension.letterSpacing.default,Primitive letter spacing default (0px),0,rem,
dimension.letterSpacing.wide,Primitive letter spacing wide (0.8px),0.05,rem,
dimension.stroke.thickness.medium,Primitive stroke thickness medium (1px),1,px,
dimension.stroke.thickness.large,Primitive stroke thickness large (3px),3,px,
dimension.radius.none,Primitive radius none (0px),0,rem,
dimension.radius.small,Primitive radius small (0px),0,rem,
dimension.radius.medium,Primitive radius medium (0px),0,rem,
dimension.radius.large,Primitive radius large (0px),0,rem,
dimension.radius.full,Primitive radius full,9999,px,
dimension.space.top.text.baselineNudge.200,Primitive baseline nudge top 200 (7px),0.4375,rem,
dimension.space.top.text.baselineNudge.250,Primitive baseline nudge top 250 (4px),0.25,rem,
dimension.space.top.text.baselineNudge.300,Primitive baseline nudge top 300 (2px),0.125,rem,
dimension.space.top.text.baselineNudge.350,Primitive baseline nudge top 350 (7px),0.4375,rem,
dimension.space.top.text.baselineNudge.400,Primitive baseline nudge top 400 (6px),0.375,rem,
