path,description,colorSpace,component0,component1,component2,alpha,hex,extensions
color.backdrop,"Semi-transparent overlay color for modal dialogs, drawers, and other components that require dimming the underlying content",{$ref:#/color/palette/black/$value/colorSpace},{$ref:#/color/palette/black/$value/components/0},{$ref:#/color/palette/black/$value/components/1},{$ref:#/color/palette/black/$value/components/2},{$ref:#/number/opacity/backdrop/$value},,
color.background.$root,Default page background color for the primary content surface,{$ref:#/color/palette/white/$value/colorSpace},{$ref:#/color/palette/white/$value/components/0},{$ref:#/color/palette/white/$value/components/1},{$ref:#/color/palette/white/$value/components/2},,,
color.background.layer2,"Background color for elevated surfaces layered above the primary background (e.g., cards, sidebars)",{$ref:#/color/palette/gray/20/$value/colorSpace},{$ref:#/color/palette/gray/20/$value/components/0},{$ref:#/color/palette/gray/20/$value/components/1},{$ref:#/color/palette/gray/20/$value/components/2},,,
color.background.layer3,"Background color for surfaces nested within layer 2 (e.g., content sections within cards)",{$ref:#/color/palette/white/$value/colorSpace},{$ref:#/color/palette/white/$value/components/0},{$ref:#/color/palette/white/$value/components/1},{$ref:#/color/palette/white/$value/components/2},,,
color.background.logo,"Background color for logo containers, ensuring consistent brand presentation",{color.brand.primary},,,,,,
color.background.container,Background color for static containers such as image placeholders and media containers,{color.palette.gray.40},,,,,,
color.border.$root,"Default border color for UI elements such as dividers, input fields, and component boundaries when the border needs to meet contrast requirements",{$ref:#/color/palette/gray/520/$value/colorSpace},{$ref:#/color/palette/gray/520/$value/components/0},{$ref:#/color/palette/gray/520/$value/components/1},{$ref:#/color/palette/gray/520/$value/components/2},,,
color.border.disabled,Border color to use when the element using the default border is in a disabled state,{$ref:#/color/border/$root/$value/colorSpace},{$ref:#/number/lightness/border/disabled/onLight/$value},{$ref:#/color/border/$root/$value/components/1},{$ref:#/color/border/$root/$value/components/2},,,
color.border.information.$root,Border color for elements conveying informational or neutral feedback,{$ref:#/color/palette/blue/520/$value/colorSpace},{$ref:#/color/palette/blue/520/$value/components/0},{$ref:#/color/palette/blue/520/$value/components/1},{$ref:#/color/palette/blue/520/$value/components/2},,,
color.border.information.disabled,Border color to use when the element using the information border is in a disabled state,{$ref:#/color/border/information/$root/$value/colorSpace},{$ref:#/number/lightness/border/disabled/onLight/$value},{$ref:#/color/border/information/$root/$value/components/1},{$ref:#/color/border/information/$root/$value/components/2},,,
